"Пирожок с черникой,пирожок с сыром ""Рикотто""",шт.,1 руб 25 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Шоколад""Любимая Аленка"", 100гр Шоколад""Спартак"""" 90г",шт.,2 руб,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Пончик с бананом,клубникой,белой глазурью,шоколадом,корицей",шт.,1 руб,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Маффин шоколадный,вишневый",шт.,2 руб 20 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Вафли ""Витьба""",шт.,50 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Вафли ""Витьба by""",шт.,60 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Йогурт,шт.,65 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
сырок глазированный,шт.,70 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Сок""Рич""в ассортименте 1л",0.2,80 коп,Напитки,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Сок ""Рич""в ассортименте 0,2",0.2,85 коп,Напитки,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Напиток лимонный,0.2,65 коп,Напитки,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Кола,фанта,спрайт",0.5,1 руб 50 коп,Напитки,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Кефир,0.2,56 коп,Напитки,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Чай в ассортименте,шт.,50 коп,Напитки,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Боржоми,0.5,2 руб 50 коп,Напитки,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Вода""Бонаква"" с/г,б/г",0.5,1 руб,Напитки,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Салат ""Дружба""",100,95 коп,,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Салат ""Англиский""",100,1 руб 79 коп,,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Салат по-слуцки(свинина,картофель,морковь,горошек,огурцы,яйцо)",100,1 руб 81 коп,,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Салат из помидор,огурцов и сладкого перца",100,1 руб 33  коп,,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Салат ""Греческий""",150,2 руб 85 коп,,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Суп картофельный с фасолью и курицей,250,1 руб 44 коп,Супы,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Солянка домашняя,250/25,1 руб 82 коп,Супы,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Драники с морковью,240/40,2 руб 30 коп,Вторые блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Курица ""Сытная""",140,3 руб 57 коп,Вторые блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Котлета  рубленные из птицы,150,1 руб 99 коп,Вторые блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
